"fips_state","state_code","state_name","group","vaxx_count","pct_of_vaxx_total","pct_of_vaxx_known","vaxx_total","vaccination_rate","state_residents","pct_of_state"
"13","GA","Georgia","raceeth_asian",192835,0.0496928006448584,0.0643526391807073,3880542,0.442408947519358,435875,0.0410528053747129
"13","GA","Georgia","raceeth_black",761318,0.19618857365801,0.254066028240608,3880542,0.227343662747398,3348754,0.31540176933706
"13","GA","Georgia","raceeth_hispanic",217407,0.0560249057992414,0.0725527742700238,3880542,0.20851548278316,1042642,0.0982010418158907
"13","GA","Georgia","raceeth_nhpi",16677,0.00429759554206603,0.00556542621213294,3880542,2.86990191017037,5811,0.000547307948454159
"13","GA","Georgia","raceeth_other",147552,0.0380235544416218,0.0492408567759573,3880542,0.562456401166447,262335,0.0247079729233732
"13","GA","Georgia","raceeth_unknown",884006,0.227804775724628,,3880542,,,
"13","GA","Georgia","raceeth_white",1653670,0.426144079873378,0.551860548313119,3880542,0.300549457339995,5502156,0.518219534062079
"15","HI","Hawaii","raceeth_aian",1765,0.00207359439083906,0.00295854020765097,851179,0.563357804021704,3133,0.0022127706459341
"15","HI","Hawaii","raceeth_asian",308624,0.362584133302161,0.517323803425537,851179,0.572152114629159,539409,0.380972997559101
"15","HI","Hawaii","raceeth_black",7478,0.00878546110747563,0.0125348236106595,851179,0.296804921611431,25195,0.0177946876553813
"15","HI","Hawaii","raceeth_hispanic",31058,0.0364882122326796,0.0520602502941778,851179,0.205867536324106,150864,0.10655200470099
"15","HI","Hawaii","raceeth_nhpi",58282,0.0684720840152306,0.0976938472421041,851179,0.414358434762826,140656,0.0993423134294626
"15","HI","Hawaii","raceeth_other",31536,0.0370497862376774,0.052861486679026,851179,0.125344303344661,251595,0.177696147674366
"15","HI","Hawaii","raceeth_unknown",254601,0.299115697168281,,851179,,,
"15","HI","Hawaii","raceeth_white",157835,0.185431031545656,0.264567248540845,851179,0.517457871614976,305020,0.215429078334765
"16","ID","Idaho","raceeth_aian",4966,0.00780531660570891,0.0162806327350217,636233,0.270567723656969,18354,0.0102704714154214
"16","ID","Idaho","raceeth_asian",6210,0.0097605751352099,0.0203589869682813,636233,0.256760109154056,24186,0.0135339229406877
"16","ID","Idaho","raceeth_black",1936,0.00304291038031665,0.00634702073600525,636233,0.156773827840311,12349,0.00691021311479997
"16","ID","Idaho","raceeth_hispanic",29942,0.0470613753137608,0.098162445701172,636233,0.130469641907849,229494,0.128419503487562
"16","ID","Idaho","raceeth_nhpi",806,0.00126683149097893,0.00264240636013442,636233,0.352118829183049,2289,0.00128087114906285
"16","ID","Idaho","raceeth_other",12312,0.0193514011376335,0.0403639045979838,636233,0.290610395128169,42366,0.0237070280040178
"16","ID","Idaho","raceeth_unknown",331208,0.520576581221031,,636233,,,
"16","ID","Idaho","raceeth_white",248853,0.391135008715361,0.815844602901401,636233,0.170677909256824,1458027,0.815877989888448
"17","IL","Illinois","raceeth_aian",8218,0.00131250572963532,0.00240792358637041,6261306,0.635183181326326,12938,0.00102100558396461
"17","IL","Illinois","raceeth_asian",235005,0.0375329044771171,0.0688578829903844,6261306,0.330937490758591,710119,0.0560392227762687
"17","IL","Illinois","raceeth_black",333402,0.0532479965042437,0.0976887977054112,6261306,0.189509081204779,1759293,0.138835057723748
"17","IL","Illinois","raceeth_hispanic",597709,0.0954607553120707,0.17513234350035,6261306,0.269687767901457,2216300,0.174899882187414
"17","IL","Illinois","raceeth_nhpi",4588,0.000732754476462259,0.0013443116834105,6261306,1.58370728339662,2897,0.000228617497043243
"17","IL","Illinois","raceeth_other",177388,0.0283308306605683,0.0519757543367091,6261306,0.635130006373212,279294,0.0220405575489111
"17","IL","Illinois","raceeth_unknown",2848407,0.454922183966093,,6261306,,,
"17","IL","Illinois","raceeth_white",2056589,0.32846006887381,0.602592986197365,6261306,0.267402723710112,7690980,0.60693565668265
"18","IN","Indiana","raceeth_aian",1841,0.000701158377623869,0.000813126987821646,2625655,0.155332433344583,11852,0.00176048937207777
"18","IN","Indiana","raceeth_asian",51032,0.0194359121819127,0.0225396504304803,2625655,0.300499340493688,169824,0.0252255608440545
"18","IN","Indiana","raceeth_black",129462,0.0493065539836726,0.0571803618128006,2625655,0.204682033128697,632503,0.0939516376398332
"18","IN","Indiana","raceeth_hispanic",122113,0.0465076333333968,0.053934479013506,2625655,0.251492110043373,485554,0.0721239163491265
"18","IN","Indiana","raceeth_nhpi",1014,0.000386189350847693,0.000447860274661135,2625655,0.371973587674248,2726,0.000404918497155247
"18","IN","Indiana","raceeth_other",273276,0.104079172625497,0.120699669051574,2625655,1.73517385010032,157492,0.0233937725436442
"18","IN","Indiana","raceeth_unknown",361556,0.137701259304821,,2625655,,,
"18","IN","Indiana","raceeth_white",1685361,0.641882120842228,0.744384852429156,2625655,0.319665274982228,5272268,0.783139704754109
"19","IA","Iowa","raceeth_aian",1917,0.00131755384478982,0.00169676349223489,1454969,0.196192815474363,9771,0.00309692019511453
"19","IA","Iowa","raceeth_asian",22568,0.0155109833955225,0.0199752522132275,1454969,0.298234485675018,75672,0.0239842539151271
"19","IA","Iowa","raceeth_black",18692,0.0128470091115343,0.0165445504417604,1454969,0.148513042165564,125861,0.039891666428954
"19","IA","Iowa","raceeth_hispanic",43810,0.0301106071675754,0.038776843294111,1454969,0.221843003412969,197482,0.0625919551705667
"19","IA","Iowa","raceeth_nhpi",744,0.000511351100951292,0.000658524798238269,1454969,0.529160739687055,1406,0.000445631951113604
"19","IA","Iowa","raceeth_other",53033,0.0364495738397175,0.0469402494959276,1454969,0.881283546870067,60177,0.019073110897698
"19","IA","Iowa","raceeth_unknown",325171,0.22348998500999,,1454969,,,
"19","IA","Iowa","raceeth_white",989034,0.679762936529919,0.8754078162645,1454969,0.368396331658535,2684701,0.850916461441426
"20","KS","Kansas","raceeth_aian",7641,0.00594813654635981,0.00748241764052668,1284604,0.397182659320096,19238,0.00660347631597555
"20","KS","Kansas","raceeth_asian",30776,0.0239575775881128,0.0301372706851,1284604,0.359352194575155,85643,0.0293971058389175
"20","KS","Kansas","raceeth_black",39939,0.0310905150536663,0.0391101005293803,1284604,0.247327875552693,161482,0.0554289719542761
"20","KS","Kansas","raceeth_hispanic",106553,0.0829461841937282,0.104341584458976,1284604,0.300315103550129,354804,0.121787078220885
"20","KS","Kansas","raceeth_nhpi",791,0.000615753959975214,0.000774583477772098,1284604,0.37810707456979,2092,0.000718082568511324
"20","KS","Kansas","raceeth_other",108487,0.0844517065181176,0.106235445958359,1284604,1.15942075451534,93570,0.0321180621107097
"20","KS","Kansas","raceeth_unknown",263410,0.205051517821835,,1284604,,,
"20","KS","Kansas","raceeth_white",727007,0.565938608318205,0.711918597249886,1284604,0.330986553516186,2196485,0.753947222990725
"21","KY","Kentucky","raceeth_aian",1484,0.000777748021171098,0.000967314671895207,1908073,0.215259646069046,6894,0.00154308518103272
"21","KY","Kentucky","raceeth_asian",24852,0.0130246589098006,0.0161992616077761,1908073,0.34384858044164,72276,0.0161775492521498
"21","KY","Kentucky","raceeth_black",86458,0.0453116835676622,0.0563558570773017,1908073,0.241645215476161,357789,0.0800839721259815
"21","KY","Kentucky","raceeth_hispanic",45285,0.0237333686918687,0.0295180895665596,1908073,0.269526297934138,168017,0.0376072734060886
"21","KY","Kentucky","raceeth_nhpi",906,0.00047482460052629,0.000590557340119311,1908073,0.232129131437356,3903,0.000873609147312259
"21","KY","Kentucky","raceeth_other",161781,0.084787636531726,0.105453594968921,1908073,1.68355273427338,96095,0.0215089600335566
"21","KY","Kentucky","raceeth_unknown",373929,0.195972061865558,,1908073,,,
"21","KY","Kentucky","raceeth_white",1213378,0.635918017811688,0.790915324767427,1908073,0.322475435850702,3762699,0.842205550853878
"22","LA","Louisiana","raceeth_aian",1693,0.00105220437749339,0.00174128048397929,1609003,0.069751153592617,24272,0.00522113907391896
"22","LA","Louisiana","raceeth_asian",16991,0.0105599554506735,0.0174755444201371,1609003,0.209724005134788,81016,0.0174273155575403
"22","LA","Louisiana","raceeth_black",224061,0.139254557014499,0.230450706745945,1609003,0.149937966671976,1494358,0.321450681617641
"22","LA","Louisiana","raceeth_hispanic",66056,0.0410539943057906,0.0679397658887987,1609003,0.264009624185162,250203,0.0538210555253685
"22","LA","Louisiana","raceeth_nhpi",873,0.000542572015092576,0.000897895961319506,1609003,0.930703624733475,938,0.000201772760849373
"22","LA","Louisiana","raceeth_other",314565,0.195503053754406,0.323535673622532,1609003,3.48374771582037,90295,0.0194233171011665
"22","LA","Louisiana","raceeth_unknown",636730,0.395729529404234,,1609003,,,
"22","LA","Louisiana","raceeth_white",348034,0.216304133677812,0.357959132877289,1609003,0.128534349295641,2707712,0.582454718363515
"23","ME","Maine","raceeth_aian",2227,0.00286136083597477,0.00403851733642826,778301,0.248854620628003,8949,0.00665743201221236
"23","ME","Maine","raceeth_asian",5262,0.00676088043057891,0.00954228927897867,778301,0.348615343845237,15094,0.0112288835392036
"23","ME","Maine","raceeth_black",4197,0.00539251523510827,0.00761098215581024,778301,0.204313114594489,20542,0.0152818156659813
"23","ME","Maine","raceeth_hispanic",10021,0.0128754813369121,0.0181724212969679,778301,0.434430138292799,23067,0.0171602396050623
"23","ME","Maine","raceeth_nhpi",331,0.000425285333052379,0.000600246627012912,778301,1.49099099099099,222,0.000165152520584551
"23","ME","Maine","raceeth_other",53401,0.068612272115801,0.0968391846801103,778301,1.86592822949789,28619,0.0212905404802219
"23","ME","Maine","raceeth_unknown",226861,0.291482344234429,,778301,,,
"23","ME","Maine","raceeth_white",476001,0.611589860478144,0.863196358624692,778301,0.38149695564466,1247719,0.928215936176734
"24","MD","Maryland","raceeth_aian",7915,0.00249832550640411,0.00306198557481767,3168122,0.531779091642032,14884,0.00246192322451734
"24","MD","Maryland","raceeth_asian",212383,0.0670375067626815,0.0821621834916617,3168122,0.553272357352937,383867,0.0634944290799381
"24","MD","Maryland","raceeth_black",587346,0.185392481728923,0.227219833155636,3168122,0.32659073317853,1798416,0.297471252199918
"24","MD","Maryland","raceeth_hispanic",213188,0.067291600512859,0.0824736046398269,3168122,0.331463949711663,643171,0.106385220521099
"24","MD","Maryland","raceeth_nhpi",4695,0.00148195050569391,0.00181630098215654,3168122,2.04397039616892,2297,0.000379940718000291
"24","MD","Maryland","raceeth_other",142368,0.0449376633854378,0.0550762807726649,3168122,0.74512862114987,191065,0.0316035582432415
"24","MD","Maryland","raceeth_unknown",583198,0.184083188715586,,3168122,,,
"24","MD","Maryland","raceeth_white",1417029,0.447277282882414,0.548189811383236,3168122,0.470464279311284,3011980,0.498203676013286
"25","MA","Massachusetts","raceeth_aian",1154,0.000273126397879365,0.000339069503959533,4225150,0.0886805502190118,13013,0.00188799337483059
"25","MA","Massachusetts","raceeth_asian",200990,0.0475699087606357,0.0590550949747196,4225150,0.427522775760592,470127,0.0682084577982773
"25","MA","Massachusetts","raceeth_black",138995,0.0328970569092222,0.040839658321365,4225150,0.283899655223125,489592,0.0710325407185169
"25","MA","Massachusetts","raceeth_hispanic",307298,0.0727306722838242,0.0902906242874839,4225150,0.35994541631771,853735,0.123864291390225
"25","MA","Massachusetts","raceeth_nhpi",147,0.000034791664201271,0.0000431916959116562,4225150,0.0594419733117671,2473,0.00035879563636026
"25","MA","Massachusetts","raceeth_other",737611,0.174576287232406,0.216725646347569,4225150,3.39292170545132,217397,0.0315410816651077
"25","MA","Massachusetts","raceeth_unknown",821718,0.194482562749252,,4225150,,,
"25","MA","Massachusetts","raceeth_white",2017237,0.47743559400258,0.592706714868991,4225150,0.416254210029124,4846166,0.703106839416682
"26","MI","Michigan","raceeth_aian",12864,0.00290861929442919,0.0106899523256713,4422717,0.245660269263821,52365,0.00524339138930296
"26","MI","Michigan","raceeth_asian",70629,0.0159695951606219,0.0586925250940481,4422717,0.216908874256793,325616,0.0326044520313047
"26","MI","Michigan","raceeth_black",112204,0.0253699253196621,0.093241247726183,4422717,0.0830938238014588,1350329,0.135210607301176
"26","MI","Michigan","raceeth_hispanic",70173,0.0158664911184686,0.0583135902168322,4422717,0.133415593576096,525973,0.0526665196067191
